model,reportId,n_documents,spearman,kendall,accuracy,pair_correct,pair_total,spearman_comprehensiveness,kendall_comprehensiveness,accuracy_comprehensiveness,spearman_insight,kendall_insight,accuracy_insight,spearman_instruction_following,kendall_instruction_following,accuracy_instruction_following,spearman_readability,kendall_readability,accuracy_readability
mean_loqo,1,16,,,0.00000000,0,120,,,0.00000000,,,0.00000000,,,0.06666667,,,0.00000000
mean_loqo,2,16,,,0.00000000,0,120,,,0.00000000,,,0.00000000,,,0.02500000,,,0.00000000
mean_loqo,3,16,,,0.00000000,0,120,,,0.00833333,,,0.00833333,,,0.05000000,,,0.00833333
mean_loqo,4,16,,,0.00000000,0,120,,,0.00000000,,,0.00833333,,,0.17500000,,,0.01666667
mean_loqo,5,16,,,0.00000000,0,120,,,0.00833333,,,0.08333333,,,0.02500000,,,0.00000000
mean_loqo,6,16,,,0.00000000,0,120,,,0.00000000,,,0.00000000,,,0.03333333,,,0.00000000
mean_loqo,7,16,,,0.00000000,0,120,,,0.01666667,,,0.08333333,,,0.17500000,,,0.00833333
mean_loqo,16,16,,,0.00000000,0,120,,,0.00833333,,,0.01666667,,,0.23333333,,,0.00000000
mean_loqo,17,16,,,0.00000000,0,120,,,0.03333333,,,0.08333333,,,0.03333333,,,0.00833333
mean_loqo,18,16,,,0.00000000,0,120,,,0.00833333,,,0.00000000,,,0.02500000,,,0.00833333
surface_ridge_loqo,1,16,0.41470588,0.28333333,0.64166667,77,120,-0.05000000,-0.01666667,0.49166667,0.42058824,0.30000000,0.65000000,-0.01483738,-0.01725164,0.45833333,0.48823529,0.30000000,0.65000000
surface_ridge_loqo,2,16,0.65294118,0.51666667,0.75833333,91,120,0.45000000,0.30000000,0.65000000,0.56470588,0.43333333,0.71666667,0.33628465,0.24474535,0.60833333,0.45588235,0.28333333,0.64166667
surface_ridge_loqo,3,16,0.34117647,0.23333333,0.61666667,74,120,0.08388523,0.09205101,0.54166667,0.52538646,0.34309924,0.66666667,-0.05497826,-0.04329369,0.44166667,0.67696854,0.47699162,0.73333333
surface_ridge_loqo,4,16,0.72352941,0.50000000,0.75000000,90,120,0.51764706,0.36666667,0.68333333,0.70787363,0.51046472,0.75000000,0.16272681,0.11927107,0.46666667,0.61266635,0.45379754,0.71666667
surface_ridge_loqo,5,16,0.10588235,0.06666667,0.53333333,64,120,0.28403245,0.20920685,0.60000000,0.00892249,0.00000000,0.45833333,-0.07374663,-0.04219747,0.46666667,0.31176471,0.21666667,0.60833333
surface_ridge_loqo,6,16,0.49705882,0.30000000,0.65000000,78,120,0.19117647,0.11666667,0.55833333,0.44411765,0.35000000,0.67500000,0.10774981,0.06780635,0.51666667,0.67647059,0.53333333,0.76666667
surface_ridge_loqo,7,16,0.31176471,0.23333333,0.61666667,74,120,0.18262170,0.11765121,0.55000000,0.28958450,0.19148542,0.55000000,-0.11360174,-0.08257228,0.37500000,0.62987508,0.44351853,0.71666667
surface_ridge_loqo,16,16,0.55000000,0.45000000,0.72500000,87,120,0.38704941,0.30962614,0.65000000,0.85125276,0.68909996,0.83333333,-0.24029962,-0.17576248,0.28333333,0.59411765,0.43333333,0.71666667
surface_ridge_loqo,17,16,0.81764706,0.66666667,0.83333333,100,120,0.63173862,0.52549922,0.74166667,0.80008912,0.62667956,0.75833333,-0.39705067,-0.28817699,0.34166667,0.69168525,0.49372817,0.74166667
surface_ridge_loqo,18,16,0.13235294,0.10000000,0.55000000,66,120,0.19867555,0.15899721,0.57500000,0.07647059,0.03333333,0.51666667,-0.20059084,-0.14347141,0.41666667,0.45474626,0.29288959,0.64166667
metadata_ridge_loqo,1,16,0.50588235,0.35000000,0.67500000,81,120,0.14117647,0.11666667,0.55833333,0.65882353,0.48333333,0.74166667,0.47331252,0.34503278,0.63333333,0.52058824,0.30000000,0.65000000
metadata_ridge_loqo,2,16,0.76764706,0.56666667,0.78333333,94,120,0.77058824,0.60000000,0.80000000,0.53823529,0.38333333,0.69166667,0.71091755,0.51480918,0.74166667,0.65000000,0.51666667,0.75833333
metadata_ridge_loqo,3,16,0.71764706,0.46666667,0.73333333,88,120,0.23841066,0.17573376,0.58333333,0.63281842,0.44351853,0.71666667,0.41630772,0.34199278,0.64166667,0.54598985,0.37657233,0.68333333
metadata_ridge_loqo,4,16,0.60588235,0.45000000,0.72500000,87,120,0.69117647,0.50000000,0.75000000,0.55187653,0.44351853,0.71666667,0.40221155,0.28441564,0.54166667,0.64212146,0.48741217,0.73333333
metadata_ridge_loqo,5,16,0.38823529,0.28333333,0.64166667,77,120,0.45621793,0.34309924,0.66666667,0.29444210,0.20889319,0.55833333,0.49557738,0.34601928,0.65833333,0.36176471,0.26666667,0.63333333
metadata_ridge_loqo,6,16,0.58823529,0.45000000,0.72500000,87,120,0.70588235,0.56666667,0.78333333,0.38529412,0.25000000,0.62500000,0.48413614,0.33903175,0.65000000,0.47941176,0.30000000,0.65000000
metadata_ridge_loqo,7,16,0.29411765,0.18333333,0.59166667,71,120,0.43299016,0.30253169,0.64166667,0.21196391,0.17407766,0.54166667,-0.06754698,-0.04587349,0.39166667,0.56217822,0.39330888,0.69166667
metadata_ridge_loqo,16,16,0.88529412,0.73333333,0.86666667,104,120,0.59308331,0.46025507,0.72500000,0.78056049,0.63867801,0.80833333,0.47240572,0.41876284,0.56666667,0.73823529,0.58333333,0.79166667
metadata_ridge_loqo,17,16,0.82352941,0.63333333,0.81666667,98,120,0.87823476,0.74586985,0.85000000,0.63887713,0.48741744,0.69166667,0.54908123,0.42378969,0.69166667,0.58278161,0.42678198,0.70833333
metadata_ridge_loqo,18,16,0.37647059,0.25000000,0.62500000,75,120,0.18101550,0.10878756,0.55000000,0.32058824,0.20000000,0.60000000,0.34218438,0.24474535,0.60833333,0.31052253,0.17573376,0.58333333
surface_metadata_ridge_loqo,1,16,0.48235294,0.33333333,0.66666667,80,120,0.10588235,0.10000000,0.55000000,0.54117647,0.40000000,0.70000000,0.58162542,0.41403934,0.66666667,0.50588235,0.30000000,0.65000000
surface_metadata_ridge_loqo,2,16,0.83235294,0.66666667,0.83333333,100,120,0.68823529,0.46666667,0.73333333,0.53823529,0.38333333,0.69166667,0.60369152,0.42374403,0.69166667,0.50000000,0.33333333,0.66666667
surface_metadata_ridge_loqo,3,16,0.71764706,0.55000000,0.77500000,93,120,0.31788088,0.22594340,0.60833333,0.60044166,0.44351853,0.71666667,0.33186096,0.15389675,0.55000000,0.62840341,0.46025507,0.72500000
surface_metadata_ridge_loqo,4,16,0.77058824,0.56666667,0.78333333,94,120,0.51764706,0.36666667,0.68333333,0.70345862,0.49372817,0.74166667,0.35615679,0.26606624,0.53333333,0.64948524,0.43699022,0.70833333
surface_metadata_ridge_loqo,5,16,0.37941176,0.28333333,0.64166667,77,120,0.41942616,0.30962614,0.65000000,0.09666029,0.06963106,0.49166667,0.64012078,0.46417221,0.71666667,0.31470588,0.21666667,0.60833333
