candidate,reference,metric,mean_delta,ci_low,ci_high,probability_delta_gt_zero,positive_questions,tied_questions,net_correct_pairs,n_questions
rubric_capped,global_capped,accuracy,0.00500000,-0.03500000,0.04666667,0.58220000,5,1,6.00000000,10
rubric_capped,global_capped,spearman,0.00941176,-0.08705882,0.11206618,0.56300000,5,0,,10
rubric_capped,global_capped,kendall,0.01000000,-0.06670833,0.09333333,0.59740000,5,1,,10
rubric_capped,structure,accuracy,-0.00333333,-0.04833333,0.04750000,0.42920000,3,2,-4.00000000,10
rubric_capped,structure,spearman,-0.00588235,-0.13088971,0.13296324,0.46080000,5,1,,10
rubric_capped,structure,kendall,-0.00666667,-0.09833333,0.09333333,0.44360000,3,2,,10
rubric_structure_capped,structure,accuracy,0.01916667,-0.01500000,0.05500000,0.84560000,4,1,23.00000000,10
rubric_structure_capped,structure,spearman,0.04823529,-0.05414706,0.15588235,0.81320000,6,0,,10
rubric_structure_capped,structure,kendall,0.03833333,-0.03000000,0.11166667,0.83860000,4,1,,10
all_capped,rubric_capped,accuracy,0.03583333,0.00416667,0.06916667,0.98640000,7,0,43.00000000,10
all_capped,rubric_capped,spearman,0.09147059,0.01264706,0.17794853,0.99140000,7,0,,10
all_capped,rubric_capped,kendall,0.07166667,0.00500000,0.14000000,0.98360000,7,0,,10
all_capped,structure,accuracy,0.03250000,-0.01083333,0.07583333,0.92540000,6,0,39.00000000,10
all_capped,structure,spearman,0.08558824,-0.01323529,0.19265441,0.95360000,6,0,,10
all_capped,structure,kendall,0.06500000,-0.02166667,0.15000000,0.92920000,6,0,,10
rubric_unbounded,global_unbounded,accuracy,-0.00833333,-0.03666667,0.02916667,0.27560000,2,1,-10.00000000,10
rubric_unbounded,global_unbounded,spearman,-0.04970588,-0.14411765,0.06382353,0.16280000,1,0,,10
rubric_unbounded,global_unbounded,kendall,-0.01666667,-0.07333333,0.05666667,0.28840000,2,1,,10
rubric_unbounded,structure,accuracy,-0.01333333,-0.04750000,0.02333333,0.23560000,3,2,-16.00000000,10
rubric_unbounded,structure,spearman,-0.04500000,-0.15000735,0.06177206,0.21580000,5,0,,10
rubric_unbounded,structure,kendall,-0.02666667,-0.09500000,0.04333333,0.24100000,3,2,,10
rubric_structure_unbounded,structure,accuracy,0.03750000,-0.00083333,0.07333333,0.96940000,6,0,45.00000000,10
rubric_structure_unbounded,structure,spearman,0.08764706,-0.01588971,0.18500735,0.95520000,6,0,,10
rubric_structure_unbounded,structure,kendall,0.07500000,-0.00000000,0.14833333,0.97360000,6,0,,10
all_unbounded,rubric_unbounded,accuracy,0.04666667,0.02083333,0.07250000,0.99960000,9,0,56.00000000,10
all_unbounded,rubric_unbounded,spearman,0.13558824,0.06470588,0.20677206,1.00000000,9,0,,10
all_unbounded,rubric_unbounded,kendall,0.09333333,0.04166667,0.14500000,0.99980000,9,0,,10
all_unbounded,structure,accuracy,0.03333333,0.00000000,0.06750000,0.97240000,7,0,40.00000000,10
all_unbounded,structure,spearman,0.09058824,0.00793382,0.18000735,0.98400000,6,0,,10
all_unbounded,structure,kendall,0.06666667,-0.00166667,0.13333333,0.97200000,7,0,,10
global_unbounded,global_capped,accuracy,0.00333333,-0.02333333,0.02666667,0.59880000,6,0,4.00000000,10
global_unbounded,global_capped,spearman,0.02000000,-0.03411765,0.07147059,0.77340000,6,0,,10
global_unbounded,global_capped,kendall,0.00666667,-0.04833333,0.05500000,0.60940000,6,0,,10
rubric_unbounded,rubric_capped,accuracy,-0.01000000,-0.03000000,0.00666667,0.13020000,4,1,-12.00000000,10
rubric_unbounded,rubric_capped,spearman,-0.03911765,-0.09617647,0.00852941,0.06200000,3,0,,10
rubric_unbounded,rubric_capped,kendall,-0.02000000,-0.05833333,0.01333333,0.14200000,4,1,,10
all_unbounded,all_capped,accuracy,0.00083333,-0.01916667,0.01666667,0.55440000,7,0,1.00000000,10
all_unbounded,all_capped,spearman,0.00500000,-0.03147059,0.03911765,0.62060000,7,0,,10
all_unbounded,all_capped,kendall,0.00166667,-0.03833333,0.03333333,0.57200000,7,0,,10
