model,reportId,n_documents,spearman,kendall,accuracy,pair_correct,pair_total,spearman_comprehensiveness,kendall_comprehensiveness,accuracy_comprehensiveness,spearman_insight,kendall_insight,accuracy_insight,spearman_instruction_following,kendall_instruction_following,accuracy_instruction_following,spearman_readability,kendall_readability,accuracy_readability
mlp_structure_huber,1,16,0.44705882,0.30000000,0.65000000,78,120,-0.05000000,-0.06666667,0.46666667,0.62352941,0.45000000,0.72500000,0.12908523,0.08625819,0.50833333,0.69705882,0.50000000,0.75000000
mlp_structure_huber,2,16,0.40588235,0.28333333,0.64166667,77,120,0.39705882,0.26666667,0.63333333,0.40882353,0.26666667,0.63333333,0.17404206,0.17722939,0.57500000,0.41470588,0.25000000,0.62500000
mlp_structure_huber,3,16,0.57352941,0.43333333,0.71666667,86,120,0.16335545,0.14226066,0.56666667,0.68138355,0.51046472,0.75000000,-0.01629674,-0.01709964,0.46666667,0.50919808,0.34309924,0.66666667
mlp_structure_huber,4,16,0.74117647,0.53333333,0.76666667,92,120,0.24117647,0.16666667,0.58333333,0.73436370,0.57741091,0.78333333,0.19957062,0.13762047,0.47500000,0.64359422,0.45379754,0.71666667
mlp_structure_huber,5,16,-0.01764706,-0.03333333,0.48333333,58,120,0.27520243,0.20920685,0.60000000,-0.05056077,-0.01740777,0.45000000,0.03539838,0.04219747,0.50833333,0.31176471,0.23333333,0.61666667
mlp_structure_huber,6,16,0.37058824,0.21666667,0.60833333,73,120,0.00000000,0.00000000,0.50000000,0.65588235,0.48333333,0.74166667,0.08413341,0.08475794,0.52500000,0.63823529,0.50000000,0.75000000
mlp_structure_huber,7,16,0.22941176,0.16666667,0.58333333,70,120,0.08541983,0.03361463,0.50833333,0.35227805,0.24370872,0.57500000,0.05526571,0.04587349,0.43333333,0.61515837,0.41004543,0.70000000
mlp_structure_huber,16,16,0.49117647,0.35000000,0.67500000,81,120,0.28403245,0.17573376,0.58333333,0.68483138,0.50421948,0.74166667,-0.54830041,-0.41876284,0.20000000,0.51176471,0.35000000,0.67500000
mlp_structure_huber,17,16,0.56176471,0.40000000,0.70000000,84,120,0.64797489,0.50854763,0.73333333,0.59409603,0.40037861,0.65000000,-0.52694086,-0.37293493,0.30000000,0.68874191,0.51046472,0.75000000
mlp_structure_huber,18,16,-0.01176471,0.00000000,0.50000000,60,120,0.10154528,0.05857792,0.52500000,0.08529412,0.05000000,0.52500000,-0.32153532,-0.24474535,0.36666667,0.41206781,0.24267995,0.61666667
mlp_structure_huber_pair,1,16,0.55294118,0.36666667,0.68333333,82,120,0.08823529,0.05000000,0.52500000,0.56764706,0.40000000,0.70000000,0.24036561,0.15526475,0.54166667,0.67058824,0.43333333,0.71666667
mlp_structure_huber_pair,2,16,0.41470588,0.28333333,0.64166667,77,120,0.40294118,0.26666667,0.63333333,0.41176471,0.28333333,0.64166667,0.19174125,0.14347141,0.55833333,0.46176471,0.31666667,0.65833333
mlp_structure_huber_pair,3,16,0.48823529,0.36666667,0.68333333,82,120,0.10890364,0.09205101,0.54166667,0.60044166,0.41004543,0.70000000,-0.09481742,-0.08549820,0.43333333,0.56806491,0.35983579,0.67500000
mlp_structure_huber_pair,4,16,0.73823529,0.53333333,0.76666667,92,120,0.32352941,0.23333333,0.61666667,0.71376031,0.56067436,0.77500000,0.23334411,0.17431926,0.49166667,0.62003013,0.45379754,0.71666667
mlp_structure_huber_pair,5,16,0.05294118,0.00000000,0.50000000,60,120,0.24724069,0.17573376,0.58333333,-0.03717703,-0.01740777,0.45000000,-0.07374663,-0.09283444,0.44166667,0.29411765,0.20000000,0.60000000
