model,metric,estimate,ci_low,ci_high,n_questions,n_resamples
matched_full_structure,accuracy,0.66750000,0.61164583,0.72416667,10,5000
matched_full_structure,spearman,0.45470588,0.31234559,0.59441912,10,5000
matched_full_structure,kendall,0.33500000,0.22329167,0.44833333,10,5000
matched_full_global,accuracy,0.66250000,0.61750000,0.71500000,10,5000
matched_full_global,spearman,0.45941176,0.33264706,0.58618382,10,5000
matched_full_global,kendall,0.32500000,0.23500000,0.43000000,10,5000
matched_full_rubric,accuracy,0.65416667,0.59916667,0.71083333,10,5000
matched_full_rubric,spearman,0.40970588,0.27558088,0.54354412,10,5000
matched_full_rubric,kendall,0.30833333,0.19833333,0.42166667,10,5000
matched_full_global_structure,accuracy,0.69083333,0.63416667,0.74833333,10,5000
matched_full_global_structure,spearman,0.52264706,0.37911029,0.65205882,10,5000
matched_full_global_structure,kendall,0.38166667,0.26833333,0.49666667,10,5000
matched_full_global_rubric,accuracy,0.67833333,0.62997917,0.72750000,10,5000
matched_full_global_rubric,spearman,0.47970588,0.35705147,0.60059559,10,5000
matched_full_global_rubric,kendall,0.35666667,0.25995833,0.45500000,10,5000
matched_full_rubric_structure,accuracy,0.70500000,0.63916667,0.76166667,10,5000
matched_full_rubric_structure,spearman,0.54235294,0.36941176,0.68117647,10,5000
matched_full_rubric_structure,kendall,0.41000000,0.27833333,0.52333333,10,5000
matched_full_all,accuracy,0.70083333,0.64414583,0.75333333,10,5000
matched_full_all,spearman,0.54529412,0.40291912,0.66647794,10,5000
matched_full_all,kendall,0.40166667,0.28829167,0.50666667,10,5000
criterion_only_rubric,accuracy,0.71416667,0.66916667,0.76250000,10,5000
criterion_only_rubric,spearman,0.56617647,0.45911029,0.67471324,10,5000
criterion_only_rubric,kendall,0.42833333,0.33833333,0.52500000,10,5000
criterion_only_all,accuracy,0.70333333,0.64666667,0.75585417,10,5000
criterion_only_all,spearman,0.56617647,0.44322794,0.67588235,10,5000
criterion_only_all,kendall,0.40666667,0.29333333,0.51170833,10,5000
prompt_only_rubric,accuracy,0.63333333,0.56333333,0.70583333,10,5000
prompt_only_rubric,spearman,0.37294118,0.20264706,0.55058824,10,5000
prompt_only_rubric,kendall,0.26666667,0.12666667,0.41166667,10,5000
prompt_only_all,accuracy,0.67833333,0.62000000,0.73916667,10,5000
prompt_only_all,spearman,0.49735294,0.34382353,0.63911765,10,5000
prompt_only_all,kendall,0.35666667,0.24000000,0.47833333,10,5000
generic_dimension_rubric,accuracy,0.61500000,0.56166667,0.67083333,10,5000
generic_dimension_rubric,spearman,0.33323529,0.18822794,0.47824265,10,5000
generic_dimension_rubric,kendall,0.23000000,0.12333333,0.34166667,10,5000
generic_dimension_all,accuracy,0.69583333,0.63833333,0.75416667,10,5000
generic_dimension_all,spearman,0.54176471,0.40558088,0.66442647,10,5000
generic_dimension_all,kendall,0.39166667,0.27666667,0.50833333,10,5000
matched_full_no_instruction_rubric,accuracy,0.64750000,0.59916667,0.69916667,10,5000
matched_full_no_instruction_rubric,spearman,0.41794118,0.29675735,0.54352941,10,5000
