model,spearman,kendall,accuracy,n_questions,n_documents,pair_total,spearman_comprehensiveness,kendall_comprehensiveness,accuracy_comprehensiveness,spearman_insight,kendall_insight,accuracy_insight,spearman_instruction_following,kendall_instruction_following,accuracy_instruction_following,spearman_readability,kendall_readability,accuracy_readability,mae_comprehensiveness,rmse_comprehensiveness,mae_insight,rmse_insight,mae_instruction_following,rmse_instruction_following,mae_readability,rmse_readability,mae,rmse
criterion_only_all,0.56617647,0.40666667,0.70333333,10.00000000,160.00000000,1200.00000000,0.43894839,0.33666331,0.66333333,0.56691078,0.42837017,0.69750000,0.29309188,0.21822670,0.51000000,0.58380370,0.43445339,0.71416667,0.65761156,0.91266182,0.97909295,1.22242442,1.39045211,1.77746902,0.71407095,0.92606155,0.68457861,0.84148576
criterion_only_rubric,0.56617647,0.42833333,0.71416667,10.00000000,160.00000000,1200.00000000,0.46655089,0.35309972,0.67166667,0.39827674,0.27676721,0.62250000,0.17078165,0.13018910,0.52166667,0.49820052,0.36608511,0.68000000,0.55421411,0.74478944,1.25616013,1.51401261,0.73926187,1.03046820,0.80010558,1.04332747,0.67480737,0.84115552
generic_dimension_all,0.54176471,0.39166667,0.69583333,10.00000000,160.00000000,1200.00000000,0.41997524,0.32251990,0.65583333,0.56825932,0.42520318,0.69583333,0.16602790,0.11353312,0.41166667,0.56173795,0.41944640,0.70666667,0.72479709,0.93898132,0.97276168,1.21263841,1.42863573,1.77833707,0.69782680,0.91432970,0.68098695,0.83616409
generic_dimension_rubric,0.33323529,0.23000000,0.61500000,10.00000000,160.00000000,1200.00000000,0.03815094,0.02406078,0.50750000,0.30989373,0.22341185,0.59583333,-0.01380954,-0.00247198,0.41250000,0.39560781,0.27954392,0.63333333,0.66431651,0.87042616,1.10733919,1.38075839,1.58227601,3.02396856,0.90865850,1.17450793,0.78882310,0.98617783
matched_full_all,0.54529412,0.40166667,0.70083333,10.00000000,160.00000000,1200.00000000,0.41951816,0.31489539,0.65250000,0.52918098,0.39485065,0.68083333,0.31633854,0.24596326,0.49666667,0.58851391,0.44283555,0.71833333,0.62385753,0.81565655,0.96925021,1.20950987,0.92118221,1.17881944,0.65772029,0.87724746,0.61668264,0.76468456
matched_full_global,0.45941176,0.32500000,0.66250000,10.00000000,160.00000000,1200.00000000,0.34467882,0.24403085,0.61666667,0.48997181,0.36642256,0.66666667,0.17164594,0.11124364,0.43916667,0.55348151,0.41603549,0.70500000,0.85282655,1.10049785,1.12935816,1.45957547,1.29516355,1.64568174,0.76105131,0.98934655,0.72497897,0.90613204
matched_full_global_rubric,0.47970588,0.35666667,0.67833333,10.00000000,160.00000000,1200.00000000,0.37858398,0.26298127,0.62666667,0.45719295,0.34376388,0.64083333,0.31576480,0.24749867,0.55416667,0.56318903,0.42270932,0.70833333,0.66187107,0.87343017,1.17220306,1.49385138,0.97825616,1.27657070,0.67859741,0.90710229,0.69727390,0.87253769
matched_full_global_structure,0.52264706,0.38166667,0.69083333,10.00000000,160.00000000,1200.00000000,0.40314868,0.30974085,0.65000000,0.55494221,0.42162949,0.69416667,0.18741029,0.12794056,0.43916667,0.57217630,0.42109900,0.70750000,0.74022430,0.96038150,0.96161613,1.20163247,1.53332610,1.89170189,0.71437482,0.93383797,0.70793387,0.86267058
matched_full_no_instruction_all,0.52058824,0.36666667,0.68333333,10.00000000,160.00000000,1200.00000000,0.40145338,0.31000291,0.65000000,0.52947749,0.39487878,0.68083333,0.21964138,0.15385940,0.47750000,0.57998255,0.43783555,0.71583333,0.68665318,0.89639857,0.97744797,1.21990450,1.46244219,1.87352878,0.67374482,0.89766179,0.70535862,0.85135088
matched_full_no_instruction_rubric,0.41794118,0.29500000,0.64750000,10.00000000,160.00000000,1200.00000000,0.39513309,0.29001520,0.64000000,0.26668564,0.19023340,0.58000000,0.30084363,0.22269805,0.55666667,0.47496881,0.36114146,0.67750000,0.58321354,0.77000139,0.99396042,1.22603170,0.77231489,1.04301221,0.74062248,1.01379394,0.60973828,0.77607220
