model,query_source,feature_set,held_out_question,dimension,alpha,inner_accuracy,inner_spearman,inner_mae,feature_count,train_documents,test_documents
matched_full_structure,matched_full,structure,1,comprehensiveness,100.00000000,0.61851852,0.33682392,0.60555033,23,144,16
matched_full_structure,matched_full,structure,1,insight,100.00000000,0.66296296,0.49565515,0.92367295,23,144,16
matched_full_structure,matched_full,structure,1,instruction_following,0.01000000,0.43611111,-0.05685430,0.91531294,23,144,16
matched_full_structure,matched_full,structure,1,readability,100.00000000,0.69722222,0.54782840,0.68352848,23,144,16
matched_full_structure,matched_full,structure,2,comprehensiveness,1000.00000000,0.59444444,0.26691567,0.60398213,23,144,16
matched_full_structure,matched_full,structure,2,insight,100.00000000,0.65648148,0.48097245,0.88625301,23,144,16
matched_full_structure,matched_full,structure,2,instruction_following,0.01000000,0.45277778,-0.01578434,0.88795026,23,144,16
matched_full_structure,matched_full,structure,2,readability,100.00000000,0.69722222,0.54799759,0.70307497,23,144,16
matched_full_structure,matched_full,structure,3,comprehensiveness,100.00000000,0.62500000,0.35940125,0.57198756,23,144,16
matched_full_structure,matched_full,structure,3,insight,100.00000000,0.66018519,0.47315357,0.88656963,23,144,16
matched_full_structure,matched_full,structure,3,instruction_following,0.01000000,0.48518519,0.07827010,0.83866386,23,144,16
matched_full_structure,matched_full,structure,3,readability,100.00000000,0.69166667,0.54763099,0.72035885,23,144,16
matched_full_structure,matched_full,structure,4,comprehensiveness,1000.00000000,0.60000000,0.27149263,0.58265758,23,144,16
matched_full_structure,matched_full,structure,4,insight,100.00000000,0.65370370,0.45318164,0.92051258,23,144,16
matched_full_structure,matched_full,structure,4,instruction_following,0.01000000,0.44814815,-0.02825481,0.90775695,23,144,16
matched_full_structure,matched_full,structure,4,readability,100.00000000,0.69907407,0.55771504,0.73063995,23,144,16
matched_full_structure,matched_full,structure,5,comprehensiveness,1000.00000000,0.61296296,0.29612343,0.59675557,23,144,16
matched_full_structure,matched_full,structure,5,insight,1000.00000000,0.66759259,0.48998343,0.91170401,23,144,16
matched_full_structure,matched_full,structure,5,instruction_following,1000.00000000,0.44814815,-0.01398565,0.75554870,23,144,16
matched_full_structure,matched_full,structure,5,readability,100.00000000,0.71203704,0.60029648,0.71793640,23,144,16
matched_full_structure,matched_full,structure,6,comprehensiveness,1000.00000000,0.61018519,0.30643787,0.60952828,23,144,16
matched_full_structure,matched_full,structure,6,insight,100.00000000,0.65370370,0.45404319,0.96008275,23,144,16
matched_full_structure,matched_full,structure,6,instruction_following,1000.00000000,0.45740741,0.01043043,0.70674136,23,144,16
matched_full_structure,matched_full,structure,6,readability,100.00000000,0.68888889,0.54571085,0.71834195,23,144,16
matched_full_structure,matched_full,structure,7,comprehensiveness,100.00000000,0.61203704,0.31866034,0.60252002,23,144,16
matched_full_structure,matched_full,structure,7,insight,1000.00000000,0.65462963,0.46293031,0.96855797,23,144,16
matched_full_structure,matched_full,structure,7,instruction_following,0.10000000,0.47870370,0.04283799,0.84777847,23,144,16
matched_full_structure,matched_full,structure,7,readability,100.00000000,0.69814815,0.55465496,0.66962677,23,144,16
matched_full_structure,matched_full,structure,16,comprehensiveness,1000.00000000,0.61388889,0.31476881,0.55695498,23,144,16
matched_full_structure,matched_full,structure,16,insight,100.00000000,0.62592593,0.40870180,1.02203391,23,144,16
matched_full_structure,matched_full,structure,16,instruction_following,0.01000000,0.49629630,0.09158415,0.89862290,23,144,16
