candidate,reference,metric,mean_delta,ci_low,ci_high,probability_delta_gt_zero,positive_questions,tied_questions,n_questions
matched_full_selective,global_structure,alignment_accuracy,0.03000000,-0.01917708,0.08709375,0.87000000,6,0,10
matched_full_selective,global_structure,accuracy_comprehensiveness,0.00250000,-0.02083333,0.02502083,0.55860000,5,1,10
matched_full_selective,global_structure,accuracy_instruction_following,0.05750000,-0.03750000,0.17252083,0.84800000,5,1,10
matched_full_selective,global_structure,alignment_spearman,0.07260422,-0.02407331,0.17598354,0.92940000,7,0,10
matched_full_selective,global_structure,spearman_comprehensiveness,0.01636948,-0.04955903,0.07847784,0.69780000,6,0,10
matched_full_selective,global_structure,spearman_instruction_following,0.12892825,-0.06355878,0.33640256,0.89860000,6,0,9
criterion_only_selective,global_structure,alignment_accuracy,0.04208333,-0.01083333,0.11333333,0.92460000,6,0,10
criterion_only_selective,global_structure,accuracy_comprehensiveness,0.01333333,-0.01750000,0.04416667,0.79900000,5,0,10
criterion_only_selective,global_structure,accuracy_instruction_following,0.07083333,-0.02500000,0.20750000,0.87780000,6,2,10
criterion_only_selective,global_structure,alignment_spearman,0.07415090,0.00015689,0.15339554,0.97540000,7,0,10
criterion_only_selective,global_structure,spearman_comprehensiveness,0.03579971,-0.03893985,0.10830908,0.81520000,6,0,10
criterion_only_selective,global_structure,spearman_instruction_following,0.08657109,-0.00019888,0.19901085,0.97480000,7,0,9
fixed_dimension_selective,global_structure,alignment_accuracy,0.03541667,-0.02000000,0.10166667,0.85400000,5,0,10
fixed_dimension_selective,global_structure,accuracy_comprehensiveness,0.01333333,-0.01750000,0.04416667,0.79380000,5,0,10
fixed_dimension_selective,global_structure,accuracy_instruction_following,0.05750000,-0.04083333,0.17666667,0.84320000,5,1,10
fixed_dimension_selective,global_structure,alignment_spearman,0.07444590,-0.02376671,0.19180596,0.91600000,6,0,10
fixed_dimension_selective,global_structure,spearman_comprehensiveness,0.03579971,-0.03410580,0.10865865,0.83900000,6,0,10
fixed_dimension_selective,global_structure,spearman_instruction_following,0.12892825,-0.06013444,0.32855643,0.90340000,6,0,9
nested_query_selective,global_structure,alignment_accuracy,0.00625000,-0.03250000,0.04959375,0.59240000,4,0,10
nested_query_selective,global_structure,accuracy_comprehensiveness,0.01333333,-0.01750000,0.04416667,0.78900000,5,0,10
nested_query_selective,global_structure,accuracy_instruction_following,-0.00083333,-0.05835417,0.06833333,0.47000000,3,2,10
nested_query_selective,global_structure,alignment_spearman,0.03541178,-0.05568700,0.15154621,0.71520000,5,0,10
nested_query_selective,global_structure,spearman_comprehensiveness,0.03579971,-0.03354885,0.10701581,0.83200000,6,0,10
nested_query_selective,global_structure,spearman_instruction_following,0.04218576,-0.11853479,0.24360240,0.65360000,4,0,9
fixed_dimension_selective,matched_full_selective,alignment_accuracy,0.00541667,-0.00876042,0.01917708,0.78120000,6,0,10
fixed_dimension_selective,matched_full_selective,accuracy_comprehensiveness,0.01083333,-0.01833333,0.03916667,0.75760000,6,0,10
fixed_dimension_selective,matched_full_selective,accuracy_instruction_following,0.00000000,0.00000000,0.00000000,0.00000000,0,10,10
fixed_dimension_selective,matched_full_selective,alignment_spearman,0.00184168,-0.04365470,0.03916500,0.54900000,6,0,10
fixed_dimension_selective,matched_full_selective,spearman_comprehensiveness,0.01943023,-0.04521159,0.08179258,0.72940000,6,0,10
fixed_dimension_selective,matched_full_selective,spearman_instruction_following,0.00000000,0.00000000,0.00000000,0.00000000,0,9,9
nested_query_selective,fixed_dimension_selective,alignment_accuracy,-0.02916667,-0.07708333,0.00083333,0.08120000,1,7,10
nested_query_selective,fixed_dimension_selective,accuracy_comprehensiveness,0.00000000,0.00000000,0.00000000,0.00000000,0,10,10
nested_query_selective,fixed_dimension_selective,accuracy_instruction_following,-0.05833333,-0.15416667,0.00166667,0.08320000,1,7,10
nested_query_selective,fixed_dimension_selective,alignment_spearman,-0.03903412,-0.09583144,0.00198142,0.08760000,1,7,10
nested_query_selective,fixed_dimension_selective,spearman_comprehensiveness,0.00000000,0.00000000,0.00000000,0.00000000,0,10,10
nested_query_selective,fixed_dimension_selective,spearman_instruction_following,-0.08674249,-0.21075718,0.00440315,0.07760000,1,6,9
nested_query_selective,matched_full_selective,alignment_accuracy,-0.02375000,-0.07041667,0.01083333,0.13440000,5,0,10
nested_query_selective,matched_full_selective,accuracy_comprehensiveness,0.01083333,-0.01750000,0.03916667,0.77900000,6,0,10
nested_query_selective,matched_full_selective,accuracy_instruction_following,-0.05833333,-0.15416667,0.00166667,0.08260000,1,7,10
nested_query_selective,matched_full_selective,alignment_spearman,-0.03719244,-0.09894987,0.01961270,0.10920000,5,0,10
nested_query_selective,matched_full_selective,spearman_comprehensiveness,0.01943023,-0.04799303,0.08431225,0.71360000,6,0,10
nested_query_selective,matched_full_selective,spearman_instruction_following,-0.08674249,-0.21075718,0.00440315,0.08020000,1,6,9
