candidate,reference,metric,mean_delta,ci_low,ci_high,probability_delta_gt_zero,positive_questions,tied_questions,n_questions
diagonal_matched_separate_hybrid,fixed_matched_hybrid,alignment_accuracy,0.03250000,-0.01208333,0.10001042,0.84200000,5,0,10
diagonal_matched_separate_hybrid,fixed_matched_hybrid,accuracy_comprehensiveness,-0.01500000,-0.03000000,-0.00083333,0.02080000,2,1,10
diagonal_matched_separate_hybrid,fixed_matched_hybrid,accuracy_instruction_following,0.08000000,-0.00835417,0.21083333,0.90100000,3,4,10
diagonal_matched_separate_hybrid,fixed_matched_hybrid,alignment_spearman,-0.01809366,-0.06600601,0.03072478,0.21700000,3,0,10
diagonal_matched_separate_hybrid,fixed_matched_hybrid,spearman_comprehensiveness,-0.03135257,-0.06521473,-0.00087549,0.02180000,2,0,10
diagonal_matched_separate_hybrid,fixed_matched_hybrid,spearman_instruction_following,-0.03834146,-0.09224754,0.00318795,0.04100000,1,4,9
diagonal_matched_separate_hybrid,ridge_global_structure,alignment_accuracy,0.03291667,-0.01083333,0.09958333,0.85980000,4,1,10
diagonal_matched_separate_hybrid,ridge_global_structure,accuracy_comprehensiveness,-0.01583333,-0.03083333,-0.00166667,0.01340000,2,1,10
diagonal_matched_separate_hybrid,ridge_global_structure,accuracy_instruction_following,0.08166667,-0.00583333,0.20916667,0.90980000,3,4,10
diagonal_matched_separate_hybrid,ridge_global_structure,alignment_spearman,-0.01769125,-0.06230983,0.02822552,0.21620000,3,0,10
diagonal_matched_separate_hybrid,ridge_global_structure,spearman_comprehensiveness,-0.03488458,-0.06462713,-0.00545249,0.00860000,1,0,10
diagonal_matched_separate_hybrid,ridge_global_structure,spearman_instruction_following,-0.03352275,-0.08576563,0.00364955,0.04720000,1,4,9
fixed_matched_hybrid,ridge_global_structure,alignment_accuracy,0.00041667,-0.00125000,0.00250000,0.63080000,1,8,10
fixed_matched_hybrid,ridge_global_structure,accuracy_comprehensiveness,-0.00083333,-0.00250000,0.00000000,0.00000000,0,9,10
fixed_matched_hybrid,ridge_global_structure,accuracy_instruction_following,0.00166667,0.00000000,0.00500000,0.64660000,1,9,10
fixed_matched_hybrid,ridge_global_structure,alignment_spearman,0.00040241,-0.00529801,0.00650526,0.53180000,1,8,10
fixed_matched_hybrid,ridge_global_structure,spearman_comprehensiveness,-0.00353201,-0.01059603,0.00000000,0.00000000,0,9,10
fixed_matched_hybrid,ridge_global_structure,spearman_instruction_following,0.00481871,0.00000000,0.01445613,0.65200000,1,8,9
diagonal_matched_separate_hybrid,diagonal_shared_a0_hybrid,alignment_accuracy,0.03875000,-0.00000000,0.09333333,0.97340000,7,1,10
diagonal_matched_separate_hybrid,diagonal_shared_a0_hybrid,accuracy_comprehensiveness,0.00583333,-0.00416667,0.01666667,0.83840000,5,2,10
diagonal_matched_separate_hybrid,diagonal_shared_a0_hybrid,accuracy_instruction_following,0.07166667,-0.00083333,0.17250000,0.97200000,4,4,10
diagonal_matched_separate_hybrid,diagonal_shared_a0_hybrid,alignment_spearman,0.04075995,-0.02743856,0.14414169,0.77800000,5,1,10
diagonal_matched_separate_hybrid,diagonal_shared_a0_hybrid,spearman_comprehensiveness,0.01501234,-0.01059617,0.04122089,0.85800000,4,1,10
diagonal_matched_separate_hybrid,diagonal_shared_a0_hybrid,spearman_instruction_following,0.06650757,-0.05669766,0.25688786,0.72800000,3,4,10
diagonal_matched_separate_hybrid,diagonal_generic_separate_hybrid,alignment_accuracy,0.02708333,-0.03125000,0.10085417,0.77160000,4,0,10
diagonal_matched_separate_hybrid,diagonal_generic_separate_hybrid,accuracy_comprehensiveness,-0.01250000,-0.03416667,0.01000000,0.13620000,3,0,10
diagonal_matched_separate_hybrid,diagonal_generic_separate_hybrid,accuracy_instruction_following,0.06666667,-0.03583333,0.21166667,0.85060000,3,5,10
diagonal_matched_separate_hybrid,diagonal_generic_separate_hybrid,alignment_spearman,-0.03510859,-0.11735159,0.02839252,0.17780000,3,0,10
diagonal_matched_separate_hybrid,diagonal_generic_separate_hybrid,spearman_comprehensiveness,-0.02701052,-0.08302639,0.03256542,0.17780000,3,0,10
diagonal_matched_separate_hybrid,diagonal_generic_separate_hybrid,spearman_instruction_following,-0.07966877,-0.20297895,0.00723140,0.08760000,2,4,9
diagonal_matched_separate_hybrid,diagonal_mismatched_ensemble_separate_hybrid,alignment_accuracy,-0.01541667,-0.04500000,0.00666667,0.13540000,5,0,10
diagonal_matched_separate_hybrid,diagonal_mismatched_ensemble_separate_hybrid,accuracy_comprehensiveness,-0.01833333,-0.04000000,0.00333333,0.04960000,3,1,10
diagonal_matched_separate_hybrid,diagonal_mismatched_ensemble_separate_hybrid,accuracy_instruction_following,-0.01250000,-0.05750000,0.01666667,0.34520000,3,5,10
diagonal_matched_separate_hybrid,diagonal_mismatched_ensemble_separate_hybrid,alignment_spearman,-0.04343390,-0.12032134,0.01242526,0.09520000,5,2,10
diagonal_matched_separate_hybrid,diagonal_mismatched_ensemble_separate_hybrid,spearman_comprehensiveness,-0.04651446,-0.09610501,-0.00206135,0.02140000,3,2,10
diagonal_matched_separate_hybrid,diagonal_mismatched_ensemble_separate_hybrid,spearman_instruction_following,-0.04035334,-0.16512213,0.03692999,0.32980000,3,4,10
