model,metric,estimate,ci_low,ci_high,n_questions,n_resamples
ridge_global_structure,accuracy,0.69083333,0.63414583,0.74833333,10,5000
ridge_global_structure,spearman,0.52264706,0.38029412,0.65353676,10,5000
ridge_global_structure,kendall,0.38166667,0.26829167,0.49666667,10,5000
fixed_matched_hybrid,accuracy,0.69083333,0.63583333,0.74750000,10,5000
fixed_matched_hybrid,spearman,0.52264706,0.38381618,0.65117647,10,5000
fixed_matched_hybrid,kendall,0.38166667,0.27166667,0.49500000,10,5000
diagonal_matched_hybrid,accuracy,0.68083333,0.62250000,0.74416667,10,5000
diagonal_matched_hybrid,spearman,0.50058824,0.35440441,0.64147794,10,5000
diagonal_matched_hybrid,kendall,0.36166667,0.24500000,0.48833333,10,5000
diagonal_generic_hybrid,accuracy,0.68916667,0.63583333,0.74583333,10,5000
diagonal_generic_hybrid,spearman,0.52411765,0.39263971,0.64766176,10,5000
diagonal_generic_hybrid,kendall,0.37833333,0.27166667,0.49166667,10,5000
diagonal_mismatch_shift1_hybrid,accuracy,0.69250000,0.64000000,0.74666667,10,5000
diagonal_mismatch_shift1_hybrid,spearman,0.53588235,0.40588235,0.65853676,10,5000
diagonal_mismatch_shift1_hybrid,kendall,0.38500000,0.28000000,0.49333333,10,5000
diagonal_mismatch_shift2_hybrid,accuracy,0.68666667,0.62916667,0.74750000,10,5000
diagonal_mismatch_shift2_hybrid,spearman,0.51705882,0.37058824,0.65205882,10,5000
diagonal_mismatch_shift2_hybrid,kendall,0.37333333,0.25833333,0.49500000,10,5000
diagonal_mismatch_shift3_hybrid,accuracy,0.68416667,0.62666667,0.74416667,10,5000
diagonal_mismatch_shift3_hybrid,spearman,0.51500000,0.36558088,0.65355882,10,5000
diagonal_mismatch_shift3_hybrid,kendall,0.36833333,0.25333333,0.48833333,10,5000
diagonal_mismatch_shift4_hybrid,accuracy,0.68583333,0.62916667,0.74333333,10,5000
diagonal_mismatch_shift4_hybrid,spearman,0.51352941,0.36438971,0.64148529,10,5000
diagonal_mismatch_shift4_hybrid,kendall,0.37166667,0.25833333,0.48666667,10,5000
diagonal_mismatch_shift5_hybrid,accuracy,0.68583333,0.63250000,0.74416667,10,5000
diagonal_mismatch_shift5_hybrid,spearman,0.51882353,0.38000000,0.64853676,10,5000
diagonal_mismatch_shift5_hybrid,kendall,0.37166667,0.26500000,0.48833333,10,5000
diagonal_mismatched_ensemble_hybrid,accuracy,0.69083333,0.63166667,0.75083333,10,5000
diagonal_mismatched_ensemble_hybrid,spearman,0.52647059,0.37499265,0.66236765,10,5000
diagonal_mismatched_ensemble_hybrid,kendall,0.38166667,0.26333333,0.50166667,10,5000
