model,spearman,kendall,accuracy,n_questions,n_documents,pair_total,spearman_comprehensiveness,kendall_comprehensiveness,accuracy_comprehensiveness,spearman_insight,kendall_insight,accuracy_insight,spearman_instruction_following,kendall_instruction_following,accuracy_instruction_following,spearman_readability,kendall_readability,accuracy_readability,mae_comprehensiveness,rmse_comprehensiveness,mae_insight,rmse_insight,mae_instruction_following,rmse_instruction_following,mae_readability,rmse_readability,mae,rmse
diagonal_generic_hybrid,0.52411765,0.37833333,0.68916667,10.00000000,160.00000000,1200.00000000,0.40363493,0.30575068,0.64750000,0.55494221,0.42162949,0.69416667,0.24998870,0.17540873,0.46333333,0.57217630,0.42109900,0.70750000,0.75294056,0.97553689,0.96161616,1.20163249,1.53051465,1.89497610,0.71437482,0.93383797,0.70365649,0.86050466
diagonal_matched_hybrid,0.50058824,0.36166667,0.68083333,10.00000000,160.00000000,1200.00000000,0.35325176,0.26620407,0.62833333,0.55494221,0.42162949,0.69416667,0.11358433,0.07020802,0.44916667,0.57217630,0.42109900,0.70750000,0.78309380,1.00286539,0.96161616,1.20163249,1.56972163,1.90928279,0.71437482,0.93383797,0.72558286,0.87837145
diagonal_mismatch_shift1_hybrid,0.53588235,0.38500000,0.69250000,10.00000000,160.00000000,1200.00000000,0.40947174,0.31304516,0.65166667,0.55494221,0.42162949,0.69416667,0.22649798,0.15359123,0.49750000,0.57217630,0.42109900,0.70750000,0.74437941,0.95634472,0.96161616,1.20163249,1.51295656,1.88162081,0.71437482,0.93383797,0.70512828,0.85994823
diagonal_mismatch_shift2_hybrid,0.51705882,0.37333333,0.68666667,10.00000000,160.00000000,1200.00000000,0.42640653,0.32818725,0.65916667,0.55494221,0.42162949,0.69416667,0.10724700,0.06888187,0.44083333,0.57217630,0.42109900,0.70750000,0.77710042,0.99713586,0.96161616,1.20163249,1.51632312,1.89104164,0.71437482,0.93383797,0.70986075,0.86797518
diagonal_mismatch_shift3_hybrid,0.51500000,0.36833333,0.68416667,10.00000000,160.00000000,1200.00000000,0.37531987,0.28457171,0.63750000,0.55494221,0.42162949,0.69416667,0.16265536,0.10261078,0.44333333,0.57217630,0.42109900,0.70750000,0.71323754,0.93826245,0.96161616,1.20163249,1.50913812,1.87991337,0.71437482,0.93383797,0.69269516,0.84752437
diagonal_mismatch_shift4_hybrid,0.51352941,0.37166667,0.68583333,10.00000000,160.00000000,1200.00000000,0.40785183,0.31808789,0.65416667,0.55494221,0.42162949,0.69416667,0.21951449,0.15492640,0.45250000,0.57217630,0.42109900,0.70750000,0.73496034,0.96424416,0.96161616,1.20163249,1.52672023,1.89923010,0.71437482,0.93383797,0.70691149,0.86445584
diagonal_mismatch_shift5_hybrid,0.51882353,0.37166667,0.68583333,10.00000000,160.00000000,1200.00000000,0.42832662,0.33491663,0.66250000,0.55494221,0.42162949,0.69416667,0.16143453,0.10500851,0.45833333,0.57217630,0.42109900,0.70750000,0.72749946,0.94743768,0.96161616,1.20163249,1.54791386,1.90366098,0.71437482,0.93383797,0.70779232,0.86387121
diagonal_mismatched_ensemble_hybrid,0.52647059,0.38166667,0.69083333,10.00000000,160.00000000,1200.00000000,0.40814150,0.30970520,0.65000000,0.55494221,0.42162949,0.69416667,0.14366765,0.10315125,0.50833333,0.57217630,0.42109900,0.70750000,0.73282023,0.95354895,0.96161616,1.20163249,1.51758640,1.88853945,0.71437482,0.93383797,0.70321827,0.85961680
fixed_matched_hybrid,0.52264706,0.38166667,0.69083333,10.00000000,160.00000000,1200.00000000,0.39961667,0.30806720,0.64916667,0.55494221,0.42162949,0.69416667,0.19222901,0.13217048,0.44083333,0.57217630,0.42109900,0.70750000,0.73955630,0.95962574,0.96161616,1.20163249,1.52532000,1.88912959,0.71437482,0.93383797,0.70606356,0.86111680
ridge_global_structure,0.52264706,0.38166667,0.69083333,10.00000000,160.00000000,1200.00000000,0.40314868,0.30974085,0.65000000,0.55494221,0.42162949,0.69416667,0.18741029,0.12794056,0.43916667,0.57217630,0.42109900,0.70750000,0.74022428,0.96038149,0.96161616,1.20163249,1.53332611,1.89170190,0.71437482,0.93383797,0.70793387,0.86267058
