candidate,reference,metric,mean_delta,ci_low,ci_high,probability_delta_gt_zero,positive_questions,tied_questions,net_correct_pairs,n_questions
diagonal_matched_hybrid,fixed_matched_hybrid,accuracy,-0.01000000,-0.02666667,0.00250000,0.06740000,2,4,-12.00000000,10
diagonal_matched_hybrid,fixed_matched_hybrid,spearman,-0.02205882,-0.05500000,0.00205882,0.04280000,1,3,,10
diagonal_matched_hybrid,fixed_matched_hybrid,kendall,-0.02000000,-0.05333333,0.00500000,0.08820000,2,4,,10
diagonal_matched_hybrid,ridge_global_structure,accuracy,-0.01000000,-0.02666667,0.00250000,0.07000000,2,4,-12.00000000,10
diagonal_matched_hybrid,ridge_global_structure,spearman,-0.02205882,-0.05323529,0.00205882,0.04260000,1,3,,10
diagonal_matched_hybrid,ridge_global_structure,kendall,-0.02000000,-0.05333333,0.00500000,0.08480000,2,4,,10
fixed_matched_hybrid,ridge_global_structure,accuracy,0.00000000,0.00000000,0.00000000,0.00000000,0,10,0.00000000,10
fixed_matched_hybrid,ridge_global_structure,spearman,0.00000000,0.00000000,0.00000000,0.00000000,0,10,,10
fixed_matched_hybrid,ridge_global_structure,kendall,0.00000000,0.00000000,0.00000000,0.00000000,0,10,,10
diagonal_matched_hybrid,diagonal_generic_hybrid,accuracy,-0.00833333,-0.02166667,0.00333333,0.08480000,2,4,-10.00000000,10
diagonal_matched_hybrid,diagonal_generic_hybrid,spearman,-0.02352941,-0.05088971,0.00264706,0.04360000,2,2,,10
diagonal_matched_hybrid,diagonal_generic_hybrid,kendall,-0.01666667,-0.04166667,0.00666667,0.10260000,2,4,,10
diagonal_matched_hybrid,diagonal_mismatched_ensemble_hybrid,accuracy,-0.01000000,-0.02333333,0.00083333,0.03180000,2,4,-12.00000000,10
diagonal_matched_hybrid,diagonal_mismatched_ensemble_hybrid,spearman,-0.02588235,-0.05147059,-0.00529412,0.00060000,1,3,,10
diagonal_matched_hybrid,diagonal_mismatched_ensemble_hybrid,kendall,-0.02000000,-0.04666667,0.00166667,0.03440000,2,4,,10
diagonal_mismatch_shift2_hybrid,ridge_global_structure,accuracy,-0.00416667,-0.00916667,0.00083333,0.02900000,1,5,-5.00000000,10
diagonal_mismatch_shift2_hybrid,ridge_global_structure,spearman,-0.00558824,-0.01882353,0.00588971,0.18520000,2,4,,10
diagonal_mismatch_shift2_hybrid,ridge_global_structure,kendall,-0.00833333,-0.01833333,0.00166667,0.03040000,1,5,,10
